Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Trans Creeper Gear,Unique Label?,Air Aspiration Method Desc,Fuel Metering Sys Desc,Cyl Deact?
,4,32.8729,6,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
,4,41.5766,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
1.8,4,42.3624,6,15.0,2,2,N,N,none given,Multipoint/sequential fuel injection,   
3.5,6,29.3963,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
,6,25.4694,6,85.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
,6,27.9923,8,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,
,6,25.6217,8,85.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
3.4,6,28.7955,7,10.0,2,2,N,Y,Naturally Aspirated,@@@@@,N
3.5,6,25.5194,6,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,
,4,36.1046,7,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
1.8,4,42.6092,6,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,
2.5,4,36.0247,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
2.5,4,25.1277,6,10.0,2,2,N,N,none given,@@@@@,N
3.5,6,27.925,6,15.0,2,2,N,N,none given,@@@@@,N
,6,31.0325,8,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
2.0,4,34.7404,6,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,
,4,28.044,6,10.0,2,2,N,Y,Turbocharged,Spark Ignition Direct Injection,N
6.3,12,17.0002,7,10.0,2,2,N,Y,Naturally Aspirated,@@@@@,N
,4,32.9334,8,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
6.2,8,22.0201,8,10.0,1,1,N,N,Naturally Aspirated,Spark Ignition Direct Injection,Y
6.2,8,21.6821,8,10.0,1,1,N,N,Naturally Aspirated,@@@@@,Y
1.5,4,43.1463,6,10.0,2,2,N,N,Naturally Aspirated,@@@@@,
,4,31.0576,9,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
3.5,6,29.8129,8,15.0,2,2,N,N,none given,Spark Ignition direct & ported injection,N
3.0,6,27.723,8,15.0,2,2,N,Y,none given,Spark Ignition Direct Injection,
2.0,4,33.7222,6,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
3.0,6,30.4958,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
1.5,4,47.715,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
,12,18.7023,8,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,
1.4,4,40.434,6,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,N
2.0,4,33.1491,8,10.0,2,2,N,Y,none given,@@@@@,N
,6,20.076,6,10.0,2,2,N,,Naturally Aspirated,Multipoint/sequential fuel injection,N
,6,29.3854,7,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
3.6,6,21.0918,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
6.7,12,17.4989,8,10.0,2,2,N,N,Naturally Aspirated,@@@@@,
2.0,4,34.2453,8,10.0,2,2,N,Y,none given,Spark Ignition Direct Injection,N
,4,36.703,6,10.0,2,2,N,N,Turbocharged,Multipoint/sequential fuel injection,N
3.0,6,30.722,8,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
2.0,4,36.4494,7,85.0,2,2,N,,none given,Spark Ignition Direct Injection,   
1.4,4,46.403,5,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
4.0,8,21.7662,8,15.0,2,2,N,N,Turbocharged,@@@@@,   
