Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Var Valve Lift?,Fuel Metering Sys Desc,Stop/Start System (Engine Management System)  Description,Air Aspiration Method Desc,Label Recalc?
3.5,6,29.3561,9,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
1.8,4,34.4702,6,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
6.0,12,18.1901,7,10.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
6.0,12,15.415,7,10.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
5.2,10,21.0869,7,15.0,2,2,Y,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
5.2,10,21.0869,7,15.0,2,2,Y,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
2.0,4,33.4616,6,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
6.2,8,20.4957,8,10.0,1,1,N,Spark Ignition Direct Injection,No,Supercharged,N
6.2,8,24.0284,8,10.0,1,1,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
6.2,8,22.6242,7,10.0,1,1,N,Spark Ignition Direct Injection,No,Supercharged,N
6.2,8,24.7128,7,10.0,1,1,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
3.9,8,23.1248,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.9,8,22.866,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
3.9,8,23.1248,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.9,8,22.866,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
6.3,12,16.7215,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
6.3,12,17.0002,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Naturally Aspirated,N
6.3,12,16.0763,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Naturally Aspirated,N
6.3,12,15.7502,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Naturally Aspirated,N
6.3,12,16.4907,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Naturally Aspirated,N
